annee	continent	code	pays	hommes	hommes_fr	homme_extra	femmes	femmes_fr	femmes_extra
2007	Europe	ESP	Espagnol	383	310	73	332	267	65
2007	Europe	EST	Estonien	0	0	0	10	9	1
2007	Europe	FIN	Finlandais	12	10	2	19	15	4
2007	Europe	GRC	Grec	34	27	7	40	32	8
2007	Europe	HUN	Hongrois	27	16	11	58	46	12
2007	Europe	IRL	Irlandais	96	80	16	80	56	24
2007	Europe	ITA	Italien	644	520	124	429	337	92
2007	Europe	LVA	Letton	2	0	2	28	27	1
2007	Europe	LTU	Lituanien	5	2	3	39	28	11
2007	Europe	LUX	Luxembourgeois	26	24	2	35	22	13
2007	Europe	MLT	Maltais	2	2	0	1	1	0
2007	Europe	NOR	Norvégien	12	9	3	22	16	6
2007	Europe	NLD	Néerlandais Hollandais	265	132	133	282	132	150
2007	Europe	POL	Polonais	128	65	63	559	450	109
2007	Europe	PRT	Portugais	1540	1178	362	849	548	301
2007	Europe	ROU	Roumain	169	60	109	428	299	129
2007	Europe	GBR	Britannique	979	566	413	703	323	380
2007	Europe	SVK	Slovaque	6	5	1	55	47	8
2007	Europe	SVN	Slovène	4	2	2	13	11	2
2007	Europe	SWE	Suédois	39	28	11	56	45	11
2007	Europe	CHE	Suisse	175	138	37	185	138	47
2007	Europe	ISL	Islandais	1	1	0	0	0	0
2007	Europe	CZE+SVK	Tchécoslovaque	2	1	1	4	4	0
2007	Europe	CZE	Tchèque	18	16	2	53	45	8
2007	Europe	YUG	Yougoslave	87	31	56	73	24	49
2007	Europe	Europe	Autres nationalités d'Europe (sauf Russes)	387	204	183	777	575	202
2007	Afrique	DZA	Algérien	5471	4392	1079	2515	1520	995
2007	Afrique	CMR	Camerounais	562	379	183	769	591	178
2007	Afrique	CAF	Centrafricain	76	54	22	68	52	16
2007	Afrique	COG	Congolais	751	298	453	671	219	452
2007	Afrique	CIV	Ivoirien	499	306	193	565	369	196
2007	Afrique	BEN	Béninois	187	148	39	88	61	27
2007	Afrique	GAB	Gabonais	65	45	20	159	134	25
2007	Afrique	GIN	Guinéen	198	115	83	144	67	77
2007	Afrique	BFA	Burkinabé	43	37	6	47	40	7
2007	Afrique	MDG	Malgache	184	116	68	380	304	76
2007	Afrique	MLI	Malien	356	291	65	112	61	51
2007	Afrique	MAR	Marocain	4471	3728	743	2620	1750	870
2007	Afrique	MRT	Mauritanien	71	51	20	28	11	17
2007	Afrique	NER	Nigérien	62	26	36	39	21	18
2007	Afrique	EGY	Egyptien	241	181	60	26	13	13
2007	Afrique	SEN	Sénégalais	493	380	113	387	265	122
2007	Afrique	TCD	Tchadien	17	10	7	18	10	8
2007	Afrique	TGO	Togolais	138	98	40	108	73	35
2007	Afrique	TUN	Tunisien	2091	1795	296	527	323	204
2007	Afrique	COM	Comorien	126	106	20	93	75	18
2007	Afrique	SOM	Somalien	1	0	1	2	2	0
2007	Afrique	MUS	Mauricien	137	97	40	235	196	39
2007	Afrique	NGA	Nigérian	94	27	67	73	42	31
2007	Afrique	COD	Zaïrois	47	12	35	31	2	29
2007	Afrique	Afrique	Autres nationalités d'Afrique	328	143	185	363	186	177
2007	Amerique	CAN	Canadien	144	110	34	180	154	26
2007	Amerique	USA	Américain	220	183	37	329	274	55
2007	Amerique	HTI	Haïtien	475	195	280	464	184	280
2007	Amerique	MEX	Mexicain	70	66	4	147	138	9
2007	Amerique	ARG	Argentin	61	52	9	102	87	15
2007	Amerique	BRA	Brésilien	215	133	82	706	570	136
2007	Amerique	CHL	Chilien	30	21	9	79	69	10
2007	Amerique	COL	Colombien	119	48	71	238	157	81
2007	Amerique	VEN	Vénézuélien	19	16	3	56	50	6
2007	Amerique	Amerique	Autres nationalités d'Amérique	257	180	77	527	428	99
2007	Asie	ARM	Arménien	88	19	69	114	41	73
2007	Asie	KHM	Cambodgien	91	32	59	172	127	45
2007	Asie	CHN	Chinois	618	70	548	1412	812	600
