annee	continent	code	pays	hommes	hommes_fr	homme_extra	femmes	femmes_fr	femmes_extra
2011	Europe	Europe	Autres nationalités d'Europe	317	140	177	775	559	216
2011	Afrique	DZA	Algérien	3954	3066	888	2145	1306	839
2011	Afrique	CMR	Camerounais	383	238	145	595	446	149
2011	Afrique	CAF	Centrafricain	50	36	14	45	32	13
2011	Afrique	COD	Congolais ou Zaïrois	528	246	282	471	196	275
2011	Afrique	CIV	Ivoirien	372	237	135	386	259	127
2011	Afrique	BEN	Béninois	81	68	13	67	55	12
2011	Afrique	GAB	Gabonais	81	55	26	169	141	28
2011	Afrique	GIN	Guinéen	181	104	77	139	62	77
2011	Afrique	BFA	Burkinabé	69	59	10	52	40	12
2011	Afrique	MDG	Malgache	146	86	60	358	295	63
2011	Afrique	MLI	Malien	192	129	63	113	53	60
2011	Afrique	MAR	Marocain	3320	2619	701	2348	1528	820
2011	Afrique	MRT	Mauritanien	81	54	27	38	17	21
2011	Afrique	NER	Nigérien	55	26	29	30	19	11
2011	Afrique	EGY	Egyptien	195	128	67	24	9	15
2011	Afrique	SEN	Sénégalais	427	321	106	326	202	124
2011	Afrique	TCD	Tchadien	10	5	5	16	14	2
2011	Afrique	TGO	Togolais	85	58	27	64	49	15
2011	Afrique	TUN	Tunisien	2212	1897	315	541	295	246
2011	Afrique	COM	Comorien	117	101	16	75	61	14
2011	Afrique	SOM	Somalien	0	0	0	3	0	3
2011	Afrique	MUS	Mauricien	138	108	30	301	269	32
2011	Afrique	NGA	Nigérian	62	18	44	42	23	19
2011	Afrique	Afrique	Autres nationalités d'Afrique	340	150	190	342	159	183
2011	Amerique	CAN	Canadien	134	112	22	200	166	34
2011	Amerique	USA	Américain	194	159	35	364	317	47
2011	Amerique	HTI	Haïtien	396	201	195	346	155	191
2011	Amerique	MEX	Mexicain	68	63	5	191	183	8
2011	Amerique	ARG	Argentin	91	71	20	114	89	25
2011	Amerique	BRA	Brésilien	191	130	61	665	532	133
2011	Amerique	CHL	Chilien	36	34	2	63	54	9
2011	Amerique	COL	Colombien	86	51	35	180	146	34
2011	Amerique	VEN	Vénézuélien	26	20	6	64	58	6
2011	Amerique	Amerique	Autres nationalités d'Amérique	208	149	59	421	353	68
2011	Asie	ARM	Arménien	83	18	65	123	62	61
2011	Asie	KHM	Cambodgien	45	19	26	131	110	21
2011	Asie	CHN	Chinois	555	81	474	1259	759	500
2011	Asie	IND	Indien	119	92	27	49	31	18
2011	Asie	IRN	Iranien	34	23	11	55	39	16
2011	Asie	ISR	Israëlien	47	41	6	32	30	2
2011	Asie	JPN	Japonais	44	29	15	350	312	38
2011	Asie	LAO	Laotien	21	11	10	86	73	13
2011	Asie	LBN	Libanais	118	83	35	115	87	28
2011	Asie	SYR	Syrien	43	27	16	32	23	9
2011	Asie	TUR	Turc	882	504	378	516	177	339
2011	Asie	VNM	Vietnamien	66	27	39	243	201	42
2011	Asie	IRQ	Irakien	24	17	7	11	7	4
2011	Asie	PAK	Pakistanais	88	64	24	14	6	8
2011	Asie	Asie	Autres nationalités d'Asie	554	146	408	1153	760	393
2011	Oceanie	AUS	Australien	66	53	13	62	48	14
2011	Oceanie	Oceanie	Autres nationalités d'Océanie	25	22	3	22	17	5
